SUBMITTED_CLAIM_LEVEL_ADJUSTMENTS,Data Type,Length(Min-Max)
SUBMITTED_CLAIM_KEY,VARCHAR,1-50
SEQ_NO,NUMERIC,0-3
CLAIM_FACT_KEY,NUMERIC,0-19
CLAIM_HCC_ID,VARCHAR,1-30
CLAIM_ADJUSTMENT_GROUP_CODE,VARCHAR,1-2
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_REASON_CODE_1,VARCHAR,1-5
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_AMT_1,VARCHAR,1-18
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_QTY_1,VARCHAR,1-15
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_REASON_CODE_2,VARCHAR,1-5
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_AMT_2,VARCHAR,1-18
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_QTY_2,VARCHAR,1-15
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_REASON_CODE_3,VARCHAR,1-5
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_AMT_3,VARCHAR,1-18
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_QTY_3,VARCHAR,1-15
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_REASON_CODE_4,VARCHAR,1-5
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_AMT_4,VARCHAR,1-18
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_QTY_4,VARCHAR,1-15
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_REASON_CODE_5,VARCHAR,1-5
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_AMT_5,VARCHAR,1-18
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_QTY_5,VARCHAR,1-15
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_REASON_CODE_6,VARCHAR,1-5
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_AMT_6,VARCHAR,1-18
CLAIM_ADJUSTMENT_GROUP_CODE.CLAIM_ADJUSTMENT_QTY_6,VARCHAR,1-15
CREATED_TIME,DATETIME,
LAST_MODIFIED_TIME,DATETIME,
OTHER_PAYER_PRIMARY_IDENTIFIER,VARCHAR,2-80
