SUBMITTED_CLAIM_PATIENT_DETAILS,Data Type,Length(Min-Max),
SUBMITTED_CLAIM_KEY,VARCHAR,1-50,
SEQ_NO,NUMERIC,0-3,
CLAIM_FACT_KEY,NUMERIC,0-19,
CLAIM_HCC_ID,VARCHAR,1-30,
PATIENT_SUBS_RELATIONSHIP,VARCHAR,2-2,
PATIENT_DEATH_DATE,VARCHAR,1-35,
PATIENT_UNIT,VARCHAR,2-2,
PATIENT_WEIGHT,VARCHAR,1-10,
PATIENT_PREGNANCY_INDICATOR,VARCHAR,1-1,
PATIENT_LAST_NAME,VARCHAR,1-60,
PATIENT_FIRST_NAME,VARCHAR,1-35,
PATIENT_MIDDLE_NAME,VARCHAR,1-25,
PATIENT_NAME_SUFFIX,VARCHAR,1-10,
PATIENT_ADDRESS_1,VARCHAR,1-55,
PATIENT_ADDRESS_CITY,VARCHAR,2-30,
PATIENT_ADDRESS_STATE,VARCHAR,2-2,
PATIENT_ADDRESS_ZIP,VARCHAR,3-15,
PATIENT_ADDRESS_COUNTRY,VARCHAR,2-3,
PATIENT_BIRTH_DATE,VARCHAR,1-35,
PATIENT_GENDER,VARCHAR,1-1,
PATIENT_PHONE_NUMBER_1,VARCHAR,1-256,
PATIENT_PHONE_NUMBER_2,VARCHAR,1-256,
CREATED_TIME,DATETIME,,
LAST_MODIFIED_TIME,DATETIME,,
PATIENT_ADDRESS_2,VARCHAR,1-55,2010CA.N302
