Integration Plus Table  Name.Column Name,Values,Comments
Enr_Member_HCC_ID_LookUp.Submitted_Member_Key,Populated by ODS .Same as Member.Submitted_Member_Key.,
Enr_Member_HCC_ID_LookUp.Member_Hcc_Id,Populated by ODS .,
Enr_Member_HCC_ID_LookUp.Source_Data_Created_Time,Auto populated,
,,
Enr_Member.Submitted_Member_Key,A unique Identifier,
Enr_Member.Residence_Address_key,Enr_Address.Address_Key of the Member residence address(2100A.N3),
Enr_Member.Mailing_Address_Key,Enr_Address.Address_Key of the Member Mailing address(2100C.N3),
Enr_Member.Communication_Key,Enr_Communication_Numbers.Communication_Key of the Member communication numbers(2100C.PER),
Enr_Member.Source_Data_Created_Time,Auto populated,
,,
Enr_Member_Supplemental_Identification.Submitted_Member_Key,Enr_Member.Submitted_Member_Key,
Enr_Member_Supplemental_Identification.Member_Identification_Key,Sequnce number that will be incremented for each occurrence of 2000.REF segment(MEMBER SUPPLEMENTAL IDENTIFIER),
Enr_Member_Supplemental_Identification.Source_Data_Created_Time,Auto populated,
,,
Enr_Member_Plan_Selection.Submitted_Member_Key,Enr_Member.Submitted_Member_Key,
Enr_Member_Plan_Selection.Member_Plan_Selection_Key,Sequnce number that will be incremented for each occurrence of 2300 loop,
Enr_Member_Plan_Selection.Source_Data_Created_Time,Auto populated,
,,
Enr_Address.Submitted_Member_Key,Enr_Member.Submitted_Member_Key,
Enr_Address.Address_Key,Sequnce number that will be incremented for each Address detail inserted into Enr_Address table.,
Enr_Address.Source_Data_Created_Time,Auto populated,
,,
Enr_Communication_Numbers.Submitted_Member_Key,Enr_Member.Submitted_Member_Key,
Enr_Communication_Numbers.Communication_Key,Sequnce number that will be incremented for each Communication inserted into Enr_Communication_Numbers table.,
Enr_Communication_Numbers.Source_Data_Created_Time,Auto populated,
,,
Enr_Member_Race_Or_Ethnicity.Submitted_Member_Key,Enr_Member.Submitted_Member_Key,
Enr_Member_Race_Or_Ethnicity.Member_Race_Or_Ethnicity_Key,Sequnce number that will be incremented for each occurrence of Race or Ethnicity data,
Enr_Member_Race_Or_Ethnicity.Source_Data_Created_Time,Auto populated,
,,
Enr_Member_Language.Submitted_Member_Key,Enr_Member.Submitted_Member_Key,
Enr_Member_Language.Member_Language_Key,Sequnce number that will be incremented for each occurrence of 2100A.LUI Segment,
Enr_Member_Language.Source_Data_Created_Time,Auto populated,
,,
Enr_Member_Responsible_Party.Submitted_Member_Key,Enr_Member.Submitted_Member_Key,
Enr_Member_Responsible_Party.Member_Responsible_Party_Key,Sequnce number that will be incremented for each occurrence of 2100G loop,
Enr_Member_Responsible_Party.Address_Key,Enr_Address.Address_Key of the Responsible person address(2100G.N3),
Enr_Member_Responsible_Party.Communication_Key,Enr_Communication_Numbers.Communication_Key of the Responsible person communication numbers(2100G.PER),
Enr_Member_Responsible_Party.Source_Data_Created_Time,Auto populated,
,,
Enr_Member_Custodial_Parent.Submitted_Member_Key,Enr_Member.Submitted_Member_Key,
Enr_Member_Custodial_Parent.Member_Custodial_Parent_Key,Sequence Number,
Enr_Member_Custodial_Parent.Address_Key,Enr_Address.Address_Key of the Custodial parent address(2100F.N3),
Enr_Member_Custodial_Parent.Communication_Key,Enr_Communication_Numbers.Communication_Key of the Custodial parent communication numbers(2100F.PER),
Enr_Member_Custodial_Parent.Source_Data_Created_Time,Auto populated,
,,
Enr_Member_Reporting_Category_Key.Submitted_Member_Key,Enr_Member.Submitted_Member_Key,
Enr_Member_Reporting_Category_Key.Member_Reporting_Category_Key,Sequnce number that will be incremented for each occurrence of 2710 loop,
Enr_Member_Reporting_Category_Key.Source_Data_Created_Time,Auto populated,
,,
Enr_Member_Reporting_Category_Identifiers.Submitted_Member_Key,Enr_Member.Submitted_Member_Key,
Enr_Member_Reporting_Category_Identifiers.Member_Reporting_Category_Key,Enr_Member_Reporting_Category_Key.Member_Reporting_Category_Key in which  corresponding reporting category is loaded (2750.N102),
Enr_Member_Reporting_Category_Identifiers.Reporting_Category_Identifier_Key,Sequnce number that will be incremented for each occurrence of 2750.REF segment,
Enr_Member_Household_Reporting_Category_Key.Source_Data_Created_Time,Auto populated,
